    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
     231   0.408000   0.589300   0.054861   0.203016     3.235783     0.012614   1.798828   0.112311
     232   0.408000   0.589300   0.043411   0.202278     3.251992     0.012685   1.803328   0.112626
     233   0.408000   0.589300   0.032971   0.202271     3.263213     0.012630   1.806437   0.112384
     234   0.412800   0.584500   0.028383   0.201660     3.254151     0.012663   1.803926   0.112530
     235   0.412800   0.584500   0.025380   0.202320     3.242404     0.012711   1.800668   0.112743
     236   0.417600   0.579700   0.024054   0.202270     3.229076     0.012658   1.796963   0.112506
     237   0.422400   0.574900   0.022463   0.202808     3.216046     0.012672   1.793334   0.112571
     238   0.422400   0.574900   0.010579   0.202023     3.235865     0.012764   1.798851   0.112980
     239   0.427200   0.570100   0.005203   0.201616     3.229177     0.012750   1.796991   0.112918
     240   0.427200   0.570100   0.000412   0.202439     3.221184     0.012859   1.794766   0.113396
     241   0.427200   0.570100   0.012469   0.202704     3.242564     0.012822   1.800712   0.113235
     242   0.432000   0.565300   0.011605   0.202233     3.229344     0.012822   1.797038   0.113236
     243   0.436800   0.560500   0.015812   0.201936     3.220321     0.012791   1.794525   0.113097
     244   0.441600   0.555700   0.017914   0.201471     3.208191     0.012791   1.791143   0.113096
     245   0.441600   0.555700   0.009394   0.201309     3.212736     0.012745   1.792411   0.112894
     246   0.441600   0.555700   0.000695   0.201718     3.218140     0.012734   1.793917   0.112845
     247   0.441600   0.555700   0.006307   0.202262     3.212826     0.012755   1.792436   0.112938
     248   0.441600   0.555700  -0.000665   0.202300     3.211828     0.012704   1.792157   0.112712
     249   0.441600   0.555700  -0.010642   0.202462     3.223517     0.012659   1.795416   0.112514
     250   0.441600   0.555700  -0.002899   0.202184     3.225490     0.012628   1.795965   0.112374
     251   0.441600   0.555700  -0.008425   0.202858     3.220242     0.012691   1.794503   0.112652
     252   0.441600   0.555700  -0.002108   0.202884     3.217439     0.012640   1.793722   0.112429
     253   0.446400   0.550900   0.004219   0.202449     3.214770     0.012638   1.792978   0.112419
     254   0.446400   0.550900   0.008772   0.202985     3.207338     0.012661   1.790904   0.112520
     255   0.451200   0.546100   0.012921   0.202846     3.199115     0.012616   1.788607   0.112321
     256   0.451200   0.546100   0.023133   0.202327     3.213109     0.012635   1.792515   0.112406
     257   0.456000   0.541300   0.032252   0.201580     3.221809     0.012728   1.794940   0.112820
     258   0.456000   0.541300   0.038842   0.201563     3.220442     0.012679   1.794559   0.112602
     259   0.456000   0.541300   0.027855   0.201732     3.239035     0.012637   1.799732   0.112416
     260   0.456000   0.541300   0.032119   0.202209     3.231268     0.012648   1.797573   0.112462
     261   0.456000   0.541300   0.037641   0.202579     3.226786     0.012635   1.796326   0.112404
     262   0.460800   0.536500   0.036597   0.202610     3.214753     0.012587   1.792973   0.112190
     263   0.465600   0.531700   0.043681   0.201898     3.215628     0.012671   1.793217   0.112567
     264   0.465600   0.531700   0.034499   0.201426     3.225536     0.012682   1.795978   0.112613
     265   0.470400   0.526900   0.039829   0.200951     3.220838     0.012693   1.794669   0.112664
     266   0.475200   0.522100   0.034542   0.200704     3.216109     0.012662   1.793351   0.112524
     267   0.475200   0.522100   0.042506   0.200698     3.220871     0.012614   1.794679   0.112313
     268   0.475200   0.522100   0.040725   0.201360     3.209697     0.012684   1.791563   0.112622
     269   0.480000   0.517300   0.045866   0.200677     3.204823     0.012761   1.790202   0.112964
     270   0.480000   0.517300   0.042298   0.201154     3.196367     0.012775   1.787839   0.113025
     271   0.484800   0.512500   0.041651   0.200864     3.184685     0.012750   1.784569   0.112917
     272   0.484800   0.512500   0.032527   0.200394     3.195451     0.012763   1.787582   0.112973
     273   0.484800   0.512500   0.038781   0.200221     3.194344     0.012724   1.787273   0.112802
     274   0.484800   0.512500   0.045991   0.200926     3.196829     0.012813   1.787968   0.113195
     275   0.489600   0.507700   0.045831   0.201556     3.185211     0.012875   1.784716   0.113467
     276   0.489600   0.507700   0.054229   0.201944     3.192994     0.012869   1.786895   0.113443
     277   0.494400   0.502900   0.054572   0.201816     3.181499     0.012827   1.783676   0.113258
     278   0.494400   0.502900   0.049135   0.202093     3.178214     0.012802   1.782755   0.113148
     279   0.499200   0.498100   0.046897   0.201958     3.168209     0.012762   1.779946   0.112968
     280   0.504000   0.493300   0.043682   0.202041     3.159767     0.012718   1.777573   0.112774
     281   0.508800   0.488500   0.046327   0.201431     3.150474     0.012777   1.774957   0.113034
     282   0.508800   0.488500   0.056326   0.201326     3.167299     0.012734   1.779691   0.112847
     283   0.508800   0.488500   0.063806   0.201435     3.171827     0.012693   1.780962   0.112662
     284   0.508800   0.488500   0.059129   0.201702     3.166826     0.012668   1.779558   0.112553
     285   0.508800   0.488500   0.060174   0.202345     3.156023     0.012741   1.776520   0.112876
     286   0.508800   0.488500   0.053218   0.202240     3.158729     0.012700   1.777281   0.112692
     287   0.508800   0.488500   0.059267   0.202050     3.158150     0.012666   1.777118   0.112542
     288   0.508800   0.488500   0.068919   0.202201     3.173828     0.012628   1.781524   0.112375
     289   0.513600   0.483700   0.069159   0.201927     3.162862     0.012606   1.778444   0.112276
     290   0.513600   0.483700   0.059641   0.202579     3.178045     0.012685   1.782707   0.112626
     291   0.513600   0.483700   0.063446   0.202829     3.171307     0.012659   1.780816   0.112513
     292   0.513600   0.483700   0.073293   0.203160     3.188571     0.012648   1.785657   0.112461
     293   0.513600   0.483700   0.082203   0.203275     3.200788     0.012608   1.789075   0.112287
     294   0.513600   0.483700   0.071768   0.203787     3.221695     0.012642   1.794908   0.112436
     295   0.513600   0.483700   0.063015   0.203946     3.233222     0.012606   1.798116   0.112279
     296   0.513600   0.483700   0.070956   0.203429     3.240839     0.012642   1.800233   0.112439
     297   0.513600   0.483700   0.064826   0.203360     3.241013     0.012601   1.800281   0.112255
     298   0.513600   0.483700   0.063900   0.204010     3.230391     0.012684   1.797329   0.112622
     299   0.513600   0.483700   0.054964   0.203995     3.243304     0.012641   1.800918   0.112434
     300   0.513600   0.483700   0.046780   0.204210     3.252453     0.012613   1.803456   0.112308
     301   0.518400   0.478900   0.041392   0.203576     3.250328     0.012692   1.802867   0.112657
     302   0.523200   0.474100   0.038896   0.203180     3.241435     0.012697   1.800398   0.112679
     303   0.523200   0.474100   0.030623   0.203347     3.251336     0.012663   1.803146   0.112531
     304   0.523200   0.474100   0.024441   0.203462     3.252183     0.012625   1.803381   0.112363
     305   0.523200   0.474100   0.021283   0.203969     3.244543     0.012662   1.801261   0.112525
     306   0.523200   0.474100   0.024369   0.204148     3.236836     0.012630   1.799121   0.112384
     307   0.528000   0.469300   0.017484   0.203585     3.240751     0.012686   1.800209   0.112631
     308   0.532800   0.464500   0.016607   0.203246     3.230464     0.012680   1.797349   0.112604
     309   0.532800   0.464500   0.020602   0.203227     3.224909     0.012639   1.795803   0.112423
     310   0.532800   0.464500   0.013881   0.203524     3.228422     0.012625   1.796781   0.112362
     311   0.537600   0.459700   0.016959   0.203512     3.220970     0.012585   1.794706   0.112181
     312   0.537600   0.459700   0.008531   0.203257     3.232670     0.012565   1.797963   0.112092
     313   0.542400   0.454900   0.001674   0.202737     3.236964     0.012609   1.799157   0.112288
     314   0.547200   0.450100  -0.000751   0.202775     3.228489     0.012569   1.796800   0.112111
     315   0.547200   0.450100  -0.006967   0.202834     3.230336     0.012530   1.797314   0.111938
     316   0.547200   0.450100  -0.011868   0.202747     3.227654     0.012493   1.796567   0.111771
     317   0.547200   0.450100  -0.004809   0.203366     3.233165     0.012574   1.798100   0.112134
     318   0.547200   0.450100   0.004528   0.203109     3.250549     0.012555   1.802928   0.112051
     319   0.547200   0.450100   0.000535   0.203282     3.245413     0.012526   1.801503   0.111918
     320   0.547200   0.450100   0.009726   0.203012     3.262132     0.012510   1.806137   0.111847
     321   0.547200   0.450100   0.017764   0.202641     3.272584     0.012515   1.809029   0.111869
