    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
     138   0.268800   0.728500   0.030349   0.201794     3.110417     0.012389   1.763637   0.111306
     139   0.268800   0.728500   0.022759   0.202787     3.095932     0.012435   1.759526   0.111512
     140   0.268800   0.728500   0.009572   0.202393     3.097815     0.012368   1.760061   0.111209
     141   0.273600   0.723700   0.011697   0.201340     3.076472     0.012434   1.753988   0.111507
     142   0.278400   0.718900   0.002356   0.200512     3.067023     0.012442   1.751292   0.111546
     143   0.278400   0.718900   0.007303   0.201718     3.049026     0.012561   1.746146   0.112074
     144   0.283200   0.714100   0.004122   0.201633     3.029289     0.012474   1.740485   0.111688
     145   0.283200   0.714100  -0.007178   0.202257     3.026658     0.012444   1.739729   0.111553
     146   0.283200   0.714100  -0.025237   0.203004     3.052889     0.012439   1.747252   0.111531
     147   0.288000   0.709300  -0.035160   0.201885     3.046399     0.012536   1.745394   0.111965
     148   0.288000   0.709300  -0.044585   0.202851     3.038786     0.012588   1.743211   0.112195
     149   0.288000   0.709300  -0.024274   0.202392     3.079039     0.012534   1.754719   0.111956
     150   0.292800   0.704500  -0.018958   0.202687     3.062694     0.012463   1.750055   0.111640
     151   0.292800   0.704500  -0.035336   0.203806     3.082381     0.012567   1.755671   0.112104
     152   0.292800   0.704500  -0.018534   0.202858     3.104452     0.012619   1.761946   0.112336
     153   0.297600   0.699700  -0.017423   0.202667     3.084348     0.012542   1.756231   0.111992
     154   0.297600   0.699700  -0.004744   0.203724     3.088755     0.012631   1.757485   0.112386
     155   0.297600   0.699700  -0.021436   0.203548     3.111459     0.012554   1.763933   0.112044
     156   0.297600   0.699700  -0.005422   0.202811     3.131008     0.012557   1.769466   0.112057
     157   0.297600   0.699700  -0.013587   0.203865     3.121399     0.012649   1.766748   0.112468
     158   0.302400   0.694900  -0.008663   0.203805     3.105425     0.012569   1.762222   0.112114
     159   0.307200   0.690100  -0.005008   0.204104     3.087993     0.012504   1.757269   0.111823
     160   0.312000   0.685300   0.010244   0.202895     3.105445     0.012657   1.762227   0.112504
     161   0.312000   0.685300   0.006708   0.203799     3.088145     0.012709   1.757312   0.112732
     162   0.312000   0.685300  -0.009444   0.204995     3.110824     0.012859   1.763753   0.113397
     163   0.316800   0.680500  -0.005445   0.204196     3.094315     0.012883   1.759067   0.113502
     164   0.316800   0.680500  -0.013511   0.204687     3.085990     0.012843   1.756699   0.113328
     165   0.316800   0.680500  -0.023635   0.204838     3.083994     0.012769   1.756130   0.113001
     166   0.316800   0.680500  -0.014177   0.205226     3.080087     0.012717   1.755018   0.112770
     167   0.321600   0.675700  -0.010107   0.205293     3.064376     0.012642   1.750536   0.112435
     168   0.326400   0.670900  -0.016637   0.205233     3.053215     0.012567   1.747345   0.112102
     169   0.326400   0.670900  -0.031148   0.205843     3.070314     0.012555   1.752231   0.112048
     170   0.326400   0.670900  -0.043602   0.205397     3.078311     0.012514   1.754512   0.111867
     171   0.331200   0.666100  -0.044951   0.204960     3.060617     0.012473   1.749462   0.111684
     172   0.336000   0.661300  -0.056619   0.203887     3.065965     0.012596   1.750990   0.112234
     173   0.340800   0.656500  -0.046759   0.203219     3.064868     0.012600   1.750676   0.112250
     174   0.340800   0.656500  -0.059360   0.203469     3.074567     0.012538   1.753444   0.111974
     175   0.340800   0.656500  -0.044205   0.204296     3.096735     0.012585   1.759754   0.112183
     176   0.340800   0.656500  -0.052437   0.204243     3.090933     0.012514   1.758105   0.111866
     177   0.340800   0.656500  -0.035422   0.203214     3.124135     0.012629   1.767522   0.112377
     178   0.340800   0.656500  -0.039369   0.204092     3.109324     0.012693   1.763328   0.112665
     179   0.340800   0.656500  -0.030507   0.204101     3.105852     0.012623   1.762343   0.112350
     180   0.340800   0.656500  -0.024875   0.205075     3.094244     0.012721   1.759046   0.112789
     181   0.340800   0.656500  -0.038226   0.204410     3.109053     0.012730   1.763251   0.112828
     182   0.340800   0.656500  -0.043722   0.205267     3.097409     0.012792   1.759946   0.113103
     183   0.345600   0.651700  -0.035238   0.204602     3.093512     0.012802   1.758838   0.113148
     184   0.350400   0.646900  -0.038754   0.204668     3.078950     0.012734   1.754694   0.112843
     185   0.350400   0.646900  -0.050957   0.205551     3.089562     0.012808   1.757715   0.113170
     186   0.350400   0.646900  -0.058549   0.205916     3.083556     0.012763   1.756006   0.112974
     187   0.350400   0.646900  -0.044720   0.205712     3.102449     0.012703   1.761377   0.112706
     188   0.350400   0.646900  -0.054458   0.205627     3.103587     0.012636   1.761700   0.112412
     189   0.350400   0.646900  -0.041821   0.206270     3.117030     0.012647   1.765511   0.112458
     190   0.350400   0.646900  -0.045547   0.206870     3.103234     0.012648   1.761600   0.112462
     191   0.350400   0.646900  -0.033973   0.207088     3.112304     0.012591   1.764172   0.112208
     192   0.350400   0.646900  -0.022433   0.206278     3.121397     0.012650   1.766748   0.112470
     193   0.350400   0.646900  -0.015793   0.206883     3.113645     0.012654   1.764552   0.112490
     194   0.350400   0.646900  -0.026025   0.207488     3.117698     0.012659   1.765700   0.112513
     195   0.355200   0.642100  -0.024206   0.206987     3.102349     0.012643   1.761349   0.112440
     196   0.360000   0.637300  -0.026260   0.207606     3.087339     0.012653   1.757083   0.112484
     197   0.364800   0.632500  -0.029418   0.206559     3.073613     0.012802   1.753172   0.113148
     198   0.364800   0.632500  -0.043540   0.205938     3.097176     0.012813   1.759879   0.113196
     199   0.364800   0.632500  -0.034111   0.205292     3.099125     0.012831   1.760433   0.113274
     200   0.364800   0.632500  -0.039725   0.205606     3.089870     0.012786   1.757803   0.113077
     201   0.364800   0.632500  -0.026250   0.205649     3.110633     0.012723   1.763699   0.112797
     202   0.369600   0.627700  -0.024456   0.206287     3.095878     0.012742   1.759511   0.112879
     203   0.369600   0.627700  -0.034545   0.206361     3.101089     0.012680   1.760991   0.112606
     204   0.374400   0.622900  -0.042804   0.205570     3.099664     0.012744   1.760586   0.112890
     205   0.374400   0.622900  -0.033404   0.205162     3.102481     0.012716   1.761386   0.112764
     206   0.374400   0.622900  -0.043881   0.205644     3.109816     0.012701   1.763467   0.112700
     207   0.374400   0.622900  -0.035356   0.205918     3.109693     0.012655   1.763432   0.112496
     208   0.379200   0.618100  -0.034652   0.205644     3.094845     0.012610   1.759217   0.112294
     209   0.379200   0.618100  -0.021483   0.206550     3.115934     0.012720   1.765201   0.112781
     210   0.384000   0.613300  -0.022209   0.206278     3.101206     0.012674   1.761024   0.112581
     211   0.384000   0.613300  -0.028390   0.207022     3.094493     0.012730   1.759117   0.112828
     212   0.384000   0.613300  -0.037442   0.206859     3.097104     0.012676   1.759859   0.112587
     213   0.384000   0.613300  -0.030570   0.206692     3.092530     0.012622   1.758559   0.112348
     214   0.384000   0.613300  -0.026299   0.207509     3.081946     0.012704   1.755547   0.112714
     215   0.384000   0.613300  -0.020012   0.207981     3.076031     0.012693   1.753862   0.112662
     216   0.388800   0.608500  -0.015852   0.208228     3.065494     0.012647   1.750855   0.112459
     217   0.388800   0.608500  -0.009405   0.208577     3.060304     0.012615   1.749372   0.112316
     218   0.388800   0.608500   0.000702   0.209000     3.068328     0.012596   1.751664   0.112231
     219   0.388800   0.608500  -0.007710   0.208645     3.069671     0.012566   1.752048   0.112097
     220   0.388800   0.608500  -0.013209   0.209148     3.062312     0.012564   1.749946   0.112089
     221   0.393600   0.603700  -0.014160   0.208636     3.048653     0.012565   1.746039   0.112092
     222   0.393600   0.603700  -0.027330   0.208711     3.073081     0.012509   1.753020   0.111844
     223   0.393600   0.603700  -0.039234   0.207918     3.090615     0.012592   1.758015   0.112215
     224   0.393600   0.603700  -0.031702   0.208010     3.089411     0.012538   1.757672   0.111973
     225   0.393600   0.603700  -0.038949   0.208161     3.087394     0.012487   1.757098   0.111746
     226   0.398400   0.598900  -0.033322   0.207271     3.080827     0.012610   1.755228   0.112293
     227   0.403200   0.594100  -0.036262   0.206489     3.069200     0.012692   1.751913   0.112657
     228   0.403200   0.594100  -0.045206   0.206177     3.073821     0.012658   1.753232   0.112507
     229   0.403200   0.594100  -0.057160   0.206624     3.092836     0.012648   1.758646   0.112463
     230   0.403200   0.594100  -0.046735   0.206488     3.104171     0.012597   1.761866   0.112237
     231   0.408000   0.589300  -0.049566   0.206735     3.092568     0.012557   1.758570   0.112056
     232   0.408000   0.589300  -0.040660   0.207354     3.097478     0.012591   1.759965   0.112208
     233   0.412800   0.584500  -0.036556   0.207090     3.088076     0.012553   1.757292   0.112038
     234   0.412800   0.584500  -0.026043   0.206422     3.100520     0.012602   1.760829   0.112260
     235   0.412800   0.584500  -0.033793   0.206496     3.101322     0.012550   1.761057   0.112027
     236   0.417600   0.579700  -0.031412   0.205646     3.089508     0.012666   1.757700   0.112543
     237   0.422400   0.574900  -0.027653   0.205585     3.079792     0.012613   1.754934   0.112310
     238   0.422400   0.574900  -0.019405   0.205555     3.082907     0.012561   1.755821   0.112074
     239   0.427200   0.570100  -0.021930   0.205781     3.071519     0.012520   1.752575   0.111894
     240   0.427200   0.570100  -0.028204   0.205966     3.068088     0.012476   1.751596   0.111697
     241   0.427200   0.570100  -0.018242   0.205275     3.079075     0.012539   1.754729   0.111976
     242   0.432000   0.565300  -0.017648   0.204452     3.066436     0.012650   1.751124   0.112470
     243   0.432000   0.565300  -0.027856   0.204583     3.078931     0.012602   1.754688   0.112257
     244   0.432000   0.565300  -0.018145   0.205354     3.089134     0.012694   1.757593   0.112668
     245   0.436800   0.560500  -0.018537   0.205209     3.076562     0.012647   1.754013   0.112460
     246   0.441600   0.555700  -0.017384   0.204805     3.064380     0.012636   1.750537   0.112409
     247   0.441600   0.555700  -0.029024   0.205299     3.085166     0.012644   1.756464   0.112446
     248   0.446400   0.550900  -0.028288   0.204661     3.072859     0.012693   1.752957   0.112664
     249   0.446400   0.550900  -0.033850   0.204754     3.068159     0.012644   1.751616   0.112447
     250   0.451200   0.546100  -0.033089   0.204016     3.056029     0.012729   1.748150   0.112822
     251   0.451200   0.546100  -0.021865   0.204173     3.075222     0.012684   1.753631   0.112624
     252   0.451200   0.546100  -0.026162   0.204759     3.067634     0.012720   1.751466   0.112781
     253   0.456000   0.541300  -0.024144   0.204599     3.056531     0.012676   1.748294   0.112587
