    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
     124   0.292800   0.704500   0.002957   0.197810     2.759295     0.012120   1.661113   0.110093
     125   0.297600   0.699700   0.007775   0.197293     2.740076     0.012056   1.655318   0.109802
     126   0.302400   0.694900   0.011977   0.195796     2.720519     0.012239   1.649400   0.110628
     127   0.302400   0.694900   0.034298   0.194422     2.761383     0.012378   1.661741   0.111258
     128   0.302400   0.694900   0.026191   0.195618     2.748092     0.012462   1.657737   0.111633
     129   0.307200   0.690100   0.035319   0.195539     2.737372     0.012366   1.654501   0.111203
     130   0.307200   0.690100   0.023085   0.196198     2.735476     0.012327   1.653927   0.111026
     131   0.307200   0.690100   0.005323   0.195045     2.755295     0.012404   1.659908   0.111373
     132   0.312000   0.685300  -0.007729   0.193740     2.756568     0.012532   1.660292   0.111945
     133   0.312000   0.685300  -0.022705   0.193629     2.765224     0.012439   1.662896   0.111531
     134   0.316800   0.680500  -0.024497   0.192401     2.745012     0.012545   1.656808   0.112006
     135   0.316800   0.680500  -0.004333   0.191495     2.778759     0.012562   1.666961   0.112079
     136   0.316800   0.680500  -0.014754   0.191858     2.772881     0.012487   1.665197   0.111746
     137   0.321600   0.675700  -0.017905   0.190674     2.753981     0.012585   1.659512   0.112184
     138   0.321600   0.675700   0.003908   0.192014     2.798735     0.012738   1.672942   0.112864
     139   0.321600   0.675700  -0.013892   0.190834     2.822011     0.012837   1.679884   0.113301
     140   0.321600   0.675700  -0.027545   0.190657     2.827579     0.012750   1.681541   0.112915
     141   0.321600   0.675700  -0.014654   0.192087     2.830625     0.012944   1.682446   0.113771
     142   0.326400   0.670900  -0.012172   0.193298     2.811554     0.013058   1.676769   0.114271
     143   0.326400   0.670900  -0.025219   0.194125     2.815894     0.013063   1.678063   0.114294
     144   0.326400   0.670900  -0.043385   0.193884     2.843204     0.012981   1.686180   0.113932
     145   0.326400   0.670900  -0.033162   0.193765     2.838542     0.012893   1.684797   0.113548
     146   0.331200   0.666100  -0.030865   0.193264     2.819859     0.012841   1.679244   0.113318
     147   0.331200   0.666100  -0.049952   0.194304     2.853499     0.012910   1.689230   0.113624
     148   0.336000   0.661300  -0.053890   0.194941     2.836483     0.012882   1.684186   0.113501
     149   0.340800   0.656500  -0.065923   0.193854     2.838733     0.012970   1.684854   0.113885
     150   0.345600   0.651700  -0.071689   0.193169     2.824728     0.012953   1.680693   0.113810
     151   0.350400   0.646900  -0.079269   0.192244     2.814583     0.012994   1.677672   0.113993
     152   0.355200   0.642100  -0.076633   0.192242     2.797109     0.012909   1.672456   0.113617
     153   0.355200   0.642100  -0.063942   0.192137     2.803148     0.012826   1.674260   0.113253
     154   0.360000   0.637300  -0.069405   0.191629     2.789482     0.012782   1.670174   0.113058
     155   0.364800   0.632500  -0.060172   0.190835     2.784528     0.012796   1.668691   0.113120
     156   0.364800   0.632500  -0.074882   0.191434     2.800003     0.012769   1.673321   0.113001
     157   0.364800   0.632500  -0.065806   0.192625     2.794935     0.012908   1.671806   0.113613
     158   0.364800   0.632500  -0.054346   0.193108     2.797736     0.012863   1.672643   0.113413
     159   0.364800   0.632500  -0.038005   0.193668     2.822063     0.012831   1.679900   0.113274
     160   0.369600   0.627700  -0.037178   0.192760     2.804534     0.012881   1.674674   0.113494
     161   0.374400   0.622900  -0.036276   0.193121     2.787243     0.012822   1.669504   0.113233
     162   0.379200   0.618100  -0.030151   0.193293     2.776042     0.012747   1.666146   0.112904
     163   0.379200   0.618100  -0.041122   0.193580     2.778392     0.012682   1.666851   0.112615
     164   0.384000   0.613300  -0.035997   0.192683     2.765706     0.012735   1.663041   0.112849
     165   0.388800   0.608500  -0.025737   0.191928     2.766104     0.012751   1.663161   0.112920
     166   0.393600   0.603700  -0.031586   0.192184     2.755051     0.012685   1.659835   0.112627
     167   0.393600   0.603700  -0.044706   0.191388     2.766959     0.012713   1.663418   0.112754
     168   0.393600   0.603700  -0.032455   0.191635     2.775406     0.012648   1.665955   0.112463
     169   0.393600   0.603700  -0.030999   0.192832     2.759337     0.012812   1.661125   0.113191
     170   0.393600   0.603700  -0.021179   0.193122     2.759310     0.012751   1.661117   0.112920
     171   0.398400   0.598900  -0.017073   0.192334     2.746023     0.012781   1.657113   0.113054
     172   0.403200   0.594100  -0.015432   0.192948     2.730515     0.012771   1.652427   0.113009
     173   0.408000   0.589300  -0.020086   0.192858     2.718435     0.012699   1.648768   0.112688
     174   0.412800   0.584500  -0.013908   0.192356     2.709376     0.012669   1.646018   0.112556
     175   0.412800   0.584500  -0.019201   0.193088     2.698741     0.012689   1.642785   0.112647
     176   0.417600   0.579700  -0.018274   0.192278     2.683557     0.012731   1.638157   0.112833
     177   0.422400   0.574900  -0.016480   0.193150     2.668959     0.012792   1.633695   0.113103
     178   0.427200   0.570100  -0.013111   0.192309     2.655963     0.012845   1.629712   0.113335
     179   0.432000   0.565300  -0.019125   0.191545     2.647526     0.012876   1.627122   0.113474
     180   0.436800   0.560500  -0.019951   0.191603     2.632939     0.012805   1.622633   0.113161
     181   0.436800   0.560500  -0.033032   0.190704     2.649024     0.012879   1.627582   0.113487
     182   0.441600   0.555700  -0.026660   0.190207     2.641778     0.012853   1.625355   0.113371
     183   0.441600   0.555700  -0.036364   0.190790     2.644389     0.012844   1.626158   0.113333
     184   0.441600   0.555700  -0.029649   0.191434     2.638225     0.012850   1.624261   0.113357
     185   0.446400   0.550900  -0.027546   0.190588     2.624774     0.012911   1.620115   0.113627
     186   0.451200   0.546100  -0.028320   0.190394     2.610772     0.012849   1.615788   0.113352
     187   0.451200   0.546100  -0.016371   0.191044     2.623225     0.012858   1.619637   0.113395
     188   0.456000   0.541300  -0.017152   0.191330     2.609385     0.012805   1.615359   0.113159
     189   0.460800   0.536500  -0.017056   0.191094     2.595581     0.012748   1.611081   0.112906
     190   0.460800   0.536500  -0.020425   0.191902     2.584055     0.012803   1.607500   0.113152
     191   0.465600   0.531700  -0.015015   0.190974     2.576057     0.012899   1.605010   0.113575
     192   0.465600   0.531700  -0.001289   0.191732     2.598440     0.012941   1.611968   0.113759
     193   0.470400   0.526900   0.009345   0.190979     2.606574     0.012982   1.614489   0.113941
     194   0.475200   0.522100   0.021778   0.190015     2.622821     0.013094   1.619513   0.114430
     195   0.475200   0.522100   0.006748   0.189492     2.652975     0.013080   1.628795   0.114367
     196   0.475200   0.522100  -0.005845   0.189855     2.670201     0.013039   1.634075   0.114187
     197   0.480000   0.517300  -0.012745   0.189019     2.665933     0.013109   1.632769   0.114494
     198   0.480000   0.517300  -0.001309   0.189109     2.678105     0.013044   1.636492   0.114211
     199   0.480000   0.517300   0.012195   0.190055     2.700573     0.013155   1.643342   0.114695
     200   0.484800   0.512500   0.015959   0.189633     2.689875     0.013124   1.640084   0.114562
     201   0.484800   0.512500   0.004416   0.189028     2.703007     0.013132   1.644082   0.114595
     202   0.489600   0.507700   0.008550   0.189179     2.693043     0.013071   1.641050   0.114330
     203   0.494400   0.502900   0.014503   0.188897     2.686902     0.013023   1.639177   0.114119
     204   0.499200   0.498100   0.021974   0.188529     2.685004     0.012987   1.638598   0.113958
     205   0.499200   0.498100   0.016324   0.189258     2.678386     0.013031   1.636578   0.114155
     206   0.504000   0.493300   0.022651   0.188931     2.673552     0.012990   1.635100   0.113973
     207   0.504000   0.493300   0.013930   0.188947     2.676229     0.012927   1.635918   0.113698
     208   0.504000   0.493300  -0.000002   0.188164     2.703347     0.012991   1.644186   0.113980
     209   0.504000   0.493300  -0.006081   0.188273     2.698064     0.012932   1.642578   0.113718
     210   0.504000   0.493300  -0.019700   0.188278     2.723798     0.012870   1.650393   0.113447
     211   0.508800   0.488500  -0.016277   0.187492     2.713339     0.012938   1.647222   0.113746
     212   0.508800   0.488500  -0.006764   0.188430     2.719543     0.013062   1.649104   0.114288
     213   0.508800   0.488500  -0.014237   0.189101     2.718557     0.013096   1.648805   0.114437
     214   0.508800   0.488500  -0.020657   0.189598     2.714593     0.013087   1.647602   0.114398
     215   0.508800   0.488500  -0.007749   0.188878     2.737457     0.013136   1.654526   0.114614
     216   0.508800   0.488500   0.000750   0.189236     2.740242     0.013103   1.655368   0.114469
     217   0.508800   0.488500  -0.007735   0.189409     2.743092     0.013049   1.656228   0.114233
     218   0.508800   0.488500  -0.005161   0.190320     2.731939     0.013169   1.652858   0.114754
     219   0.508800   0.488500  -0.017858   0.189875     2.754447     0.013151   1.659653   0.114680
     220   0.508800   0.488500  -0.008025   0.189677     2.763006     0.013100   1.662229   0.114456
     221   0.508800   0.488500   0.003711   0.189745     2.780668     0.013042   1.667534   0.114201
     222   0.513600   0.483700   0.006970   0.188993     2.770479     0.013108   1.664475   0.114488
     223   0.518400   0.478900   0.006669   0.188749     2.758075     0.013062   1.660745   0.114289
     224   0.518400   0.478900  -0.005213   0.189246     2.777108     0.013058   1.666466   0.114274
